Countries,Death,Source,Recovered,Confirmed,Fatality_Rate_Recovery,Fatality_Rate_Confirmed_Cases,Indicator_Death,Indicator_CFR_Recovery,Indicator_CFR_confirmed_cases,Health_Index,x_vals,Indicator_CFR_Infrastructure
Algeria,407,WHO,1408,3127,0.224242424,0.1301567,0,0,1,0.701,-0.735825438847639,1
Democratic Republic of the Congo,25,WHO,48,394,0.342465753,0.063451777,0,1,1,0.171,-0.490051233198947,0
Ghana,9,WHO,134,1279,0.062937063,0.007036747,0,0,0,0.522,0.556903869232697,0
Nigeria,31,WHO,208,1095,0.129707113,0.028310502,0,0,0,0.176,-0.062188945807268,0
Senegal,6,WHO,262,545,0.02238806,0.011009174,0,0,0,0.756,0.754798691037695,0
South Africa,75,WHO,1473,4220,0.048449612,0.017772512,0,0,0,0.319,0.214672372750668,0
Cambodia,0,WHO,117,122,0,0,0,0,0,0.322,0.431556213133359,0
China,4642,WHO,78109,83899,0.056095999,0.055328431,1,0,1,0.485,-0.062702315845188,1
Georgia,5,WHO,132,444,0.03649635,0.011261261,0,0,0,0.615,0.603736537944713,0
India,718,WHO,5498,24530,0.115508366,0.029270281,0,0,0,0.617,0.389257734837114,0
Israel,192,WHO,6003,15058,0.030992736,0.012750697,0,0,0,0.884,0.86823725853862,0
Japan,317,WHO,1530,12829,0.17162967,0.024709642,0,0,0,0.957,0.80105754086059,0
Kuwait,14,WHO,613,2614,0.022328549,0.005355777,0,0,0,0.81,0.879479629549379,0
Malaysia,95,WHO,3663,5691,0.025279404,0.016693024,0,0,0,0.802,0.734737710002594,0
Nepal,0,WHO,11,49,0,0,0,0,0,0.457,0.573287567912241,0
Pakistan,237,WHO,2755,11940,0.07921123,0.019849246,0,0,0,0.583,0.466860871230073,0
Qatar,10,WHO,809,8525,0.012210012,0.001173021,0,0,0,0.812,0.931881653659339,0
Saudi Arabia,121,WHO,2049,15102,0.055760369,0.008012184,0,0,0,0.894,0.935721774764328,0
Singapore,12,WHO,956,12075,0.012396694,0.000993789,0,0,0,0.973,1.10306488196457,0
Thailand,50,WHO,2547,2907,0.019252984,0.017199862,0,0,0,0.807,0.733891727890065,0
Panama,144,WHO,319,5338,0.311015119,0.026976396,0,1,0,0.656,0.457788870867938,0
Austria,508,WHO,11872,15071,0.041033926,0.03370712,0,0,0,0.959,0.69495256882743,0
Belarus,60,WHO,1120,8773,0.050847458,0.006839166,0,0,0,0.723,0.77030224019307,0
Belgium,6490,WHO,10122,44293,0.390681435,0.146524281,1,1,1,0.915,-0.707993389380702,1
Denmark,394,WHO,5715,8408,0.064495007,0.046860133,0,0,1,0.862,0.434936332469151,1
Estonia,45,WHO,206,1605,0.179282869,0.028037383,0,0,0,0.714,0.505921309753225,0
Finland,172,WHO,2500,4395,0.064371257,0.039135381,0,0,0,0.881,0.547782456214898,0
France,21823,WHO,43493,159952,0.334114153,0.13643468,1,1,1,0.994,-0.503715608820589,1
Germany,5321,WHO,109800,154999,0.046220933,0.034329254,1,0,0,0.902,0.627628586869861,0
Greece,125,WHO,577,2490,0.178062678,0.050200803,0,0,1,0.933,0.469301248331167,1
Hungary,250,WHO,458,2443,0.353107345,0.102333197,0,1,1,0.743,-0.357122621654985,1
Iceland,10,WHO,1542,1789,0.006443299,0.005589715,0,0,0,0.932,1.00474941474572,0
Ireland,794,WHO,9233,18184,0.079186197,0.04366476,0,0,0,0.924,0.538455689331032,0
Italy,25549,WHO,60498,192994,0.296919126,0.132382354,1,1,1,0.991,-0.458131460191079,1
Latvia,11,WHO,267,784,0.039568345,0.014030612,0,0,0,0.63,0.586179935523906,0
Lithuania,40,WHO,430,1410,0.085106383,0.028368794,0,0,0,0.722,0.510334618396638,0
Luxembourg,83,WHO,3007,3695,0.026860841,0.022462788,0,0,0,0.928,0.797632468392553,0
Netherlands,4177,WHO,102,36729,0.976162655,0.11372485,1,1,1,0.928,-0.299895489718602,1
Norway,180,WHO,32,7463,0.849056604,0.024118987,0,1,0,0.955,0.806061101428909,0
Poland,454,WHO,1944,10892,0.189324437,0.041681968,0,0,0,0.793,0.424769064658095,0
Portugal,820,WHO,1228,22797,0.400390625,0.035969645,0,1,0,0.945,0.65304511891176,0
Slovakia,15,WHO,355,1360,0.040540541,0.011029412,0,0,0,0.754,0.752455582768809,0
Slovenia,79,WHO,211,1373,0.272413793,0.057538237,0,0,1,0.838,0.281323551562269,1
Spain,22157,WHO,92355,202990,0.193490639,0.10915316,1,0,1,0.972,-0.198721901736012,1
Sweden,2021,WHO,1005,17567,0.667878387,0.115045255,1,1,1,0.908,-0.336772068470948,1
Switzerland,1267,WHO,21000,28677,0.056900346,0.044181748,0,0,0,0.916,0.523839437627516,0
Turkey,2491,WHO,21737,104912,0.102814925,0.023743709,1,0,0,0.734,0.578554760342252,0
Canada,2028,WHO,15149,44919,0.118064854,0.045147933,1,0,0,0.881,0.475474820654382,0
Mexico,970,WHO,2627,12872,0.269669169,0.075357365,0,0,1,0.755,-0.020109849129,1
Australia,76,WHO,5136,6677,0.014581734,0.011382357,0,0,0,0.876,0.876294176220755,0
New Zealand,17,WHO,1118,1461,0.014977974,0.011635866,0,0,0,0.827,0.821802215620809,0
Argentina,159,WHO,976,3607,0.140088106,0.044080954,0,0,0,0.722,0.321378391631613,1
Brazil,2906,WHO,27655,54043,0.095088512,0.053771996,1,0,1,0.573,0.048403394918914,1
Chile,168,WHO,6327,12306,0.025866051,0.013651877,0,0,0,0.87,0.842701498735922,0
Colombia,206,WHO,1003,4881,0.170388751,0.042204466,0,0,0,0.91,0.541319284973016,0
Ecuador,560,WHO,1366,22719,0.290758048,0.024648972,0,0,0,0.619,0.446933847303893,0
Peru,530,WHO,7496,21648,0.066035385,0.024482631,0,0,0,0.547,0.373344227244543,0
Vietnam,0,WHO,220,270,0,0,0,0,0,0.393,0.506096407128178,0
Iran,5481,WHO,66599,88194,0.076040511,0.062147085,1,0,1,0.659,0.037971742458159,1
South Korea,244,WHO,8635,10718,0.027042254,0.022392237,0,0,0,0.759,0.621054263813341,0
USA,42311,WHO,99079,905358,0.299250301,0.046733999,1,1,0,0.838,0.411256549033737,1
United Kingdom,18738,WHO,724,144640,0.962799301,0.129549226,1,1,1,0.925,-0.493350824549853,1
England,18738,WHO,724,144640,0.962799301,0.129549226,1,1,1,0.925,-0.493350824549853,1
Russia,615,WHO,5568,68622,0.099466279,0.00896214,0,0,0,0.544,0.556845835110639,0
Korea,244,Worldometer,8635,10718,0.027480572,0.022765441,0,0,0,0.759,0.616566069977891,0
Taiwan,6,Worldometer,264,428,0.022222222,0.014018692,0,0,0,0.485,0.434093313150952,0
Uruguay,13,Worldometer,369,563,0.034031414,0.023090586,0,0,0,0.745,0.597957772731874,0
Alaska,9,Nytimes,208,339,0.041474654,0.026548673,0,0,0,0.838,0.654007579890217,0
Arizona,266,Nytimes,1313,6045,0.168461051,0.044003309,0,0,0,0.838,0.444096138171385,0
California,1621,Nytimes,,41355,,0.039197195,0,0,0,0.838,0.501895012854596,0
Connecticut,1767,Nytimes,,23936,,0.073821858,0,0,1,0.838,0.085494869685829,1
District of Columbia,153,Nytimes,651,3528,0.190298507,0.043367347,0,0,0,0.838,0.451744289659528,0
Florida,1046,Nytimes,,30533,,0.034258016,0,0,0,0.838,0.561294142392295,0
Georgia,899,Nytimes,,22491,,0.039971544,0,0,0,0.838,0.492582603533454,0
Hawaii,13,Nytimes,463,601,0.027310924,0.021630616,0,0,0,0.838,0.713152693848789,0
Idaho,54,Nytimes,867,1870,0.058631922,0.028877005,0,0,0,0.838,0.626006793914498,0
Illinois,1795,Nytimes,,39658,,0.04526199,0,0,0,0.838,0.428959097022311,0
Indiana,741,Nytimes,,13681,,0.054162707,0,0,0,0.838,0.321918060027823,1
Iowa,107,Nytimes,1604,4445,0.062536528,0.024071991,0,0,0,0.838,0.683792439872349,0
Kansas,118,Nytimes,,2959,,0.039878337,0,0,0,0.838,0.493703521537605,0
Louisiana,1660,Nytimes,14927,26140,0.100078375,0.063504208,0,0,1,0.838,0.209576104416265,1
Maryland,798,Nytimes,1108,16616,0.418677859,0.048025999,0,1,0,0.838,0.39571880979353,1
Massachusetts,2556,Nytimes,,50969,,0.050148129,1,1,0,0.838,0.37019783256921,1
Michigan,3085,Nytimes,3237,36641,0.487978488,0.0841953,1,1,1,0.838,-0.039257325994831,1
Minnesota,221,Nytimes,1594,3185,0.121763085,0.069387755,0,0,1,0.838,0.138819897687547,1
Missouri,272,Nytimes,,6788,,0.040070713,0,0,0,0.838,0.491389985837857,0
Nebraska,50,Nytimes,,2424,,0.020627063,0,0,0,0.838,0.725221536594709,0
Nevada,197,Nytimes,,4398,,0.044793088,0,0,0,0.838,0.434598165911794,0
New Hampshire,53,Nytimes,578,1720,0.083993661,0.030813953,0,0,0,0.838,0.602712836526076,0
New Jersey,5683,Nytimes,,102196,,0.05560883,1,1,0,0.838,0.304526820025296,1
New York,21411,Nytimes,23887,271590,0.472669875,0.078835745,1,1,1,0.838,0.025197293226182,1
North Carolina,294,Nytimes,,8290,,0.035464415,0,0,0,0.838,0.546785850533435,0
Ohio,690,Nytimes,,15169,,0.045487507,0,0,0,0.838,0.426247003879716,1
Oregon,86,Nytimes,,2177,,0.039503904,0,0,0,0.838,0.498206495467116,0
Pennsylvania,1747,Nytimes,,40208,,0.043449065,0,0,0,0.838,0.450761539678699,0
Rhode Island,202,Nytimes,377,6699,0.348877375,0.030153754,0,1,0,0.838,0.61065246493834,0
South Carolina,157,Nytimes,3701,5070,0.04069466,0.030966469,0,0,0,0.838,0.600878661728894,0
Texas,624,Nytimes,9156,23642,0.063803681,0.026393706,0,0,0,0.838,0.655871230692723,0
Utah,39,Nytimes,1252,3782,0.03020914,0.010312004,0,0,0,0.838,0.849271611663866,0
Virginia,411,Nytimes,1672,11594,0.19731157,0.03544937,0,0,0,0.838,0.546966783418009,0
Washington,722,Nytimes,,12977,,0.055636896,0,0,1,0.838,0.30418929511081,1
Wisconsin,263,Nytimes,,5356,,0.049103809,0,0,0,0.838,0.38275694390306,1
Wyoming,7,Nytimes,321,473,0.021341463,0.014799154,0,0,0,0.838,0.795308634394752,0
Hong Kong,4,Worldometer,,1036,,0.003861004,0,0,0,0.485,0.556250826639637,0
Czech Republic,223,Worldometer,,7273,,0.03066135,0,0,0,0.805,0.569902615315891,0
